date,year,month,mean_hh_price_MMBtu,sd_hh_price_MMBtu,date_minus_month,date_minus_year,date_minus_lag,roll_mean_hh_price_MMBtu
2010-01-01,2010,1,4.242325524938421,0.3920485948229886,2010-02-01,2011-01-01,2011-01-01,2.876319459556115
2010-02-01,2010,2,3.86613238116,0.2235826724145587,2010-03-01,2011-02-01,2011-02-01,2.9308440870547994
2010-03-01,2010,3,3.1192794815595652,0.23495781890907566,2010-04-01,2011-03-01,2011-03-01,2.956276866621581
2010-04-01,2010,4,2.933082350268095,0.09702350392413228,2010-05-01,2011-04-01,2011-04-01,2.9935119419848353
2010-05-01,2010,5,3.00873139596,0.10966032630897303,2010-06-01,2011-05-01,2011-05-01,3.01669381682796
2010-06-01,2010,6,3.487913912012727,0.18231209073045992,2010-07-01,2011-06-01,2011-06-01,3.0798374417672782
2010-07-01,2010,7,3.36728920756,0.10652602693508426,2010-08-01,2011-07-01,2011-07-01,3.157942366861521
2010-08-01,2010,8,3.14504747823,0.2569721923377085,2010-09-01,2011-08-01,2011-08-01,3.2314217641091
2010-09-01,2010,9,2.8429887745542857,0.09407540876730769,2010-10-01,2011-09-01,2011-09-01,3.288647858699735
2010-10-01,2010,10,2.515899434457143,0.09739694630940202,2010-11-01,2011-10-01,2011-10-01,3.256461650784724
2010-11-01,2010,11,2.72756758901,0.190791382763156,2010-12-01,2011-11-01,2011-11-01,3.261976687829641
2010-12-01,2010,12,3.132898611759091,0.1241481205979526,2011-01-01,2011-12-01,2011-12-01,3.199096345122444
2011-01-01,2011,1,3.3242041036325003,0.08051382656977726,2011-02-01,2012-01-01,2012-01-01,3.122586226680284
2011-02-01,2011,2,3.03738172704,0.20803755833326812,2011-03-01,2012-02-01,2012-02-01,3.053523672170284
2011-03-01,2011,3,2.964531953547826,0.1560568041992851,2011-04-01,2012-03-01,2012-03-01,3.0406280448359726
2011-04-01,2011,4,3.174132428005,0.0935967249551829,2011-05-01,2012-04-01,2012-04-01,3.0607155513140474
2011-05-01,2011,5,3.2413390428257145,0.137121684336379,2011-06-01,2012-05-01,2012-05-01,3.0800995218861904
2011-06-01,2011,6,3.411164077780909,0.16522551423119194,2011-07-01,2012-06-01,2012-06-01,3.0737037023668723
2011-07-01,2011,7,3.334676017734,0.09096620480656381,2011-08-01,2012-07-01,2012-07-01,3.070985936548039
2011-08-01,2011,8,3.066358997347826,0.08862833034417689,2011-09-01,2012-08-01,2012-08-01,3.0644285631411914
2011-09-01,2011,9,2.9528247532333336,0.10004166674507999,2011-10-01,2012-09-01,2012-09-01,3.0735815613644455
2011-10-01,2011,10,2.704189819611429,0.06526406325661373,2011-11-01,2012-10-01,2012-10-01,3.089272426793969
2011-11-01,2011,11,2.4606275563585713,0.17205944188000868,2011-12-01,2012-11-01,2012-11-01,3.0670274240730167
2011-12-01,2011,12,2.4087384485790477,0.1338381275860303,2012-01-01,2012-12-01,2012-12-01,3.006680743808013
2012-01-01,2012,1,2.035024786312,0.16504830004425575,2012-02-01,2013-01-01,2013-01-01,2.8992491340313045
2012-02-01,2012,2,1.9126057070645002,0.08053269279069633,2012-03-01,2013-02-01,2013-02-01,2.805517799033346
2012-03-01,2012,3,1.6620194749390909,0.09047471549805391,2012-04-01,2013-03-01,2013-03-01,2.6969750924826186
